geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
2077030,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Bassendean,,Australia/Perth,0
2077196,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Barabba,,Australia/Adelaide,0
2077296,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Balhannah,,Australia/Adelaide,0
2077358,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,"Bakers Hill",,Australia/Perth,0
2077454,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Australind,,Australia/Perth,0
2077456,en,OC,Oceania,AU,Australia,,,,,,,,0
2077478,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Auburn,,Australia/Adelaide,0
2077503,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Ashton,,Australia/Adelaide,0
2077579,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Armadale,,Australia/Perth,0
2077599,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Ardrossan,,Australia/Adelaide,0
2077641,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Applecross,,Australia/Perth,0
2077719,en,OC,Oceania,AU,Australia,SA,"South Australia",,,"Angle Vale",,Australia/Adelaide,0
2077729,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Angaston,,Australia/Adelaide,0
2077823,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Altona,,Australia/Adelaide,0
2077878,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Allanson,,Australia/Perth,0
2077895,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,"Alice Springs",,Australia/Darwin,0
2077935,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Aldinga,,Australia/Adelaide,0
2077937,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Aldgate,,Australia/Adelaide,0
2077963,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Albany,,Australia/Perth,0
2078025,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Adelaide,,Australia/Adelaide,0
2078127,en,AS,Asia,CX,"Christmas Island",,,,,"Flying Fish Cove",,Indian/Christmas,0
2078138,en,AS,Asia,CX,"Christmas Island",,,,,,,Indian/Christmas,0
2078304,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Dunsborough,,Australia/Perth,0
2078313,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Eaton,,Australia/Perth,0
2078317,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Binningup,,Australia/Perth,0
2078451,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Seacliff,,Australia/Adelaide,0
2078505,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Clapham,,Australia/Adelaide,0
2078513,en,OC,Oceania,AU,Australia,SA,"South Australia",,,Hindmarsh,,Australia/Adelaide,0
2078703,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Lancelin,,Australia/Perth,0
2078732,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,"Two Rocks",,Australia/Perth,0
2078894,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,"East Fremantle",,Australia/Perth,0
2078903,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,"Peppermint Grove",,Australia/Perth,0
2078904,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Claremont,,Australia/Perth,0
2078907,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Bicton,,Australia/Perth,0
2078908,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Attadale,,Australia/Perth,0
2078909,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,"Shenton Park",,Australia/Perth,0
2078912,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Dalkeith,,Australia/Perth,0
2079020,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,"Jurien Bay",,Australia/Perth,0
2079183,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Warnbro,,Australia/Perth,0
2079186,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Wattleup,,Australia/Perth,0
2079492,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,Exmouth,,Australia/Perth,0
2079582,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,Alyangula,,Australia/Darwin,0
2079686,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,"Stuart Park",,Australia/Darwin,0
2079691,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,Larrakeyah,,Australia/Darwin,0
2079692,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,Leanyer,,Australia/Darwin,0
2079693,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,Ludmilla,,Australia/Darwin,0
2079695,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,"Fannie Bay",,Australia/Darwin,0
2079696,en,OC,Oceania,AU,Australia,NT,"Northern Territory",,,Nightcliff,,Australia/Darwin,0
2079707,en,OC,Oceania,AU,Australia,WA,"Western Australia",,,"Glen Iris",,Australia/Perth,0
2080185,en,OC,Oceania,MH,"Marshall Islands",,,,,,,,0
2081175,en,OC,Oceania,FM,"Federated States of Micronesia",YAP,"State of Yap",,,,,Pacific/Chuuk,0
2081918,en,OC,Oceania,FM,"Federated States of Micronesia",,,,,,,,0
2082600,en,AS,Asia,ID,Indonesia,PA,Papua,,,Jayapura,,Asia/Jayapura,0
2083537,en,OC,Oceania,PG,"Papua New Guinea",ESW,"East Sepik Province",,,Wewak,,Pacific/Port_Moresby,0
2084246,en,OC,Oceania,PG,"Papua New Guinea",EPW,"Enga Province",,,Wabag,,Pacific/Port_Moresby,0
2084442,en,OC,Oceania,PG,"Papua New Guinea",SAN,"West Sepik Province",,,Vanimo,,Pacific/Port_Moresby,0
2085772,en,OC,Oceania,PG,"Papua New Guinea",HLA,Hela,,,Tari,,Pacific/Port_Moresby,0
2087894,en,OC,Oceania,PG,"Papua New Guinea",EBR,"East New Britain Province",,,Rabaul,,Pacific/Port_Moresby,0
2088122,en,OC,Oceania,PG,"Papua New Guinea",NCD,"National Capital",,,"Port Moresby",,Pacific/Port_Moresby,0
2088163,en,OC,Oceania,PG,"Papua New Guinea",NPP,"Northern Province",,,Popondetta,,Pacific/Port_Moresby,0
2088179,en,OC,Oceania,PG,"Papua New Guinea",NPP,"Northern Province",,,Pongani,,Pacific/Port_Moresby,0
2088628,en,OC,Oceania,PG,"Papua New Guinea",,,,,,,,0
2088659,en,OC,Oceania,PG,"Papua New Guinea",NSB,Bougainville,,,Panguna,,Pacific/Bougainville,0
2088782,en,OC,Oceania,PG,"Papua New Guinea",GPK,"Gulf Province",,,Paivara,,Pacific/Port_Moresby,0
2090015,en,OC,Oceania,PG,"Papua New Guinea",WHM,"Western Highlands Province",,,Nambaga,,Pacific/Port_Moresby,0
2090020,en,OC,Oceania,PG,"Papua New Guinea",NIK,"New Ireland",,,Namatanai,,Pacific/Port_Moresby,0
2090409,en,OC,Oceania,PG,"Papua New Guinea",WHM,"Western Highlands Province",,,"Mt Hagen",,Pacific/Port_Moresby,0
2090763,en,OC,Oceania,PG,"Papua New Guinea",JWK,Jiwaka,,,Minj,,Pacific/Port_Moresby,0
2090990,en,OC,Oceania,PG,"Papua New Guinea",SHM,"Southern Highlands Province",,,Mendi,,Pacific/Port_Moresby,0
2091996,en,OC,Oceania,PG,"Papua New Guinea",MPM,"Madang Province",,,Madang,,Pacific/Port_Moresby,0
2092164,en,OC,Oceania,PG,"Papua New Guinea",MRL,"Manus Province",,,Lorengau,,Pacific/Port_Moresby,0
2092740,en,OC,Oceania,PG,"Papua New Guinea",MPL,"Morobe Province",,,Lae,,Pacific/Port_Moresby,0
